Year,Expected_Inflation,Expected_Inflation_Change,Long_Interest_Rate,Inflation,Real_Rate_ExPost,Real_Rate_Cleveland,ILB_Return_ExPost,ILB_Return_Cleveland,Bond_Return,ILB_Return,Equity_Return
1983,0.051980904,0.014109870223132044,0.1182,0.03787103377686796,0.08032896622313204,0.0614842454,-0.04664753387421919,0.07001903597686802,-0.14600000000000002,0.07001903597686802,0.19874359967299182
1984,0.048509702,0.008075776950690464,0.1155,0.04043392504930954,0.07506607495069047,0.0607562511,0.17339180399685733,0.10919811344930953,0.02699999999999994,0.10919811344930953,-0.11216798277099793
1985,0.040037965,0.0021232730568720923,0.09,0.03791469194312791,0.05208530805687209,0.050807695199999996,0.3427884358320022,0.19815650204312793,0.2550000000000001,0.19815650204312793,0.31364463311097635
1986,0.036377004,0.024504857881278548,0.0723,0.01187214611872145,0.060427853881278554,0.035437343600000004,-0.01946800406847113,0.21638335731872138,0.17699999999999994,0.21638335731872138,0.07355430400393925
1987,0.040836870000000004,-0.002484429638989115,0.0883,0.04332129963898912,0.044978700361010884,0.045792755100000006,0.25824068872294437,-0.024795471761010893,-0.16,-0.024795471761010893,-0.052633087750480034
1988,0.044612583,0.0004949359411764026,0.09140000000000001,0.044117647058823595,0.047282352941176414,0.0461793872,0.06605982161817918,0.08604408115882367,-0.031000000000000055,0.08604408115882367,0.1540533180016339
1989,0.036603593000000004,-0.009792430198011612,0.0793,0.046396023198011616,0.03290397680198838,0.040296658299999996,0.23746213753106837,0.15140269939801165,0.12100000000000014,0.15140269939801165,0.19256384708165086
1990,0.04887682200000001,-0.013672663352335614,0.0808,0.06254948535233562,0.018250514647664376,0.038939206999999997,0.24198808369756403,0.11642065665233561,-0.015000000000000013,0.11642065665233561,-0.17804845873092656
1991,0.035525590999999995,0.005719331685543866,0.06709999999999999,0.02980625931445613,0.037293740685543864,0.0341033346,-0.14237548641667436,0.1171041903144561,0.13700000000000004,0.1171041903144561,0.5684249946501179
1992,0.030122331,0.00045518194066545767,0.067,0.02966714905933454,0.03733285094066546,0.0350968543,0.06656978719366241,0.05383528665933454,0.0009999999999998899,0.05383528665933454,0.15453491148480403
1993,0.026618748,-0.0014908795474350665,0.0583,0.028109627547435068,0.03019037245256493,0.0272011647,0.13686726336910587,0.1421633778474351,0.08700000000000006,0.1421633778474351,0.14749981534825296
1994,0.039072212999999995,0.013098187025974234,0.0784,0.02597402597402576,0.05242597402597424,0.0411695307,-0.1661916173075024,-0.08650846932597422,-0.201,-0.08650846932597422,-0.03197734294541699
1995,0.027518619,0.0022021633037973345,0.0558,0.025316455696202667,0.030483544303797336,0.0272215346,0.2971667269439459,0.20596594739620266,0.22599999999999995,0.20596594739620266,0.3991834672057024
1996,0.029632443999999997,-0.004155730139051333,0.0643,0.03378817413905133,0.030511825860948666,0.0295093511,0.06398890287133537,0.03813154373905132,-0.08499999999999994,0.03813154373905132,0.22706319561270938
1997,0.029354613999999998,0.012384155169075924,0.0575,0.016970458830924073,0.04052954116907593,0.029198510400000002,-0.05269486838939989,0.04958821693092406,0.06799999999999994,0.04958821693092406,0.21635438370913151
1998,0.022704824000000002,0.006635602739184222,0.04650000000000001,0.01606922126081578,0.030430778739184226,0.0222957981,0.15758638672880873,0.1142948546608158,0.10999999999999996,0.1142948546608158,0.39630655586334274
1999,0.031640203,0.004876212732360018,0.0645,0.02676399026763998,0.03773600973236002,0.031922035,-0.015857540924933737,-0.04720258063236003,-0.17999999999999994,-0.04720258063236003,0.8558528565369476
2000,0.031672986,-0.002687203573459543,0.0512,0.03436018957345954,0.01683981042654046,0.0263921042,0.2810581923640152,0.12158153257345958,0.133,0.12158153257345958,-0.3928897036598342
2001,0.027313753,0.01127709778808689,0.0507,0.01603665521191311,0.03466334478808689,0.020405763,-0.14535887797701078,0.1022921714119131,0.0050000000000000044,0.1022921714119131,-0.21053057655878116
2002,0.019511578999999998,-0.005291126749718215,0.0383,0.024802705749718212,0.013497294250281788,0.0169225366,0.27112655591585616,0.08004073274971822,0.12400000000000001,0.08004073274971822,-0.3152635356849878
2003,0.022234564,0.0018825287964797516,0.042699999999999995,0.020352035203520247,0.022347964796479748,0.0171357266,-0.05465737600817756,0.03514267180352022,-0.04399999999999994,0.03514267180352022,0.4950243727115484
2004,0.017525286,-0.015897894592991874,0.0424,0.033423180592991875,0.008976819407008126,0.019095366199999998,0.18948259928418784,0.030962511192991905,0.002999999999999947,0.030962511192991905,0.08956135869619675
2005,0.032271725,-0.0011137731742305312,0.043899999999999995,0.03338549817423053,0.010514501825769462,0.0201834727,0.02698549339362529,0.041599799374230514,-0.014999999999999944,0.041599799374230514,0.013735152428933972
2006,0.019891528000000002,-0.00534824988995446,0.0471,0.025239777889954462,0.02186022211004554,0.0212213778,-0.07770292312703686,0.03504419958995446,-0.032000000000000084,0.03504419958995446,0.0952106723740771
2007,0.025437758,-0.015650375924175317,0.0404,0.04108813392417532,-0.0006881339241753201,0.0138696881,0.2884319163764295,0.1358264087241753,0.06700000000000005,0.1358264087241753,0.09812072256333626
